year,plot.code,quarter,canopy,species,distance,circumference ,diameter
2022,PAM08,n,under,,,,
2022,PAM08,e,over,,,,
2022,PAM08,e,over,,,,
2022,PAM08,e,under,Vaccinium sp.,1,,1.62
2022,PAM08,e,under,Acer rubrum,1.3,,2.15
2022,PAM08,s,over,Liquidambar styraciflua,1.6,4.7,
2022,PAM08,s,over,dead tree,1.1,75,
2022,PAM08,s,under,Myrica cerifera,1.3,,4.6
2022,PAM08,s,under,,,,
2022,PAM08,w,over,,,,
2022,PAM08,w,over,,,,
2022,PAM08,w,under,Myrica cerifera,1.5,,2.84
2022,PAM08,w,under,Liquidambar styraciflua,1.45,,4.48
2022,PAM02,n,over,,,,
2022,PAM02,n,over,,,,
2022,PAM02,n,under,,,,
2022,PAM02,n,under,,,,
2022,PAM02,e,over,,,,
2022,PAM02,e,over,,,,
2022,PAM02,e,under,,,,
2022,PAM02,e,under,,,,
2022,PAM02,s,over,dead tree,7.4,30,
2022,PAM02,s,over,,,,
2022,PAM02,s,under,,,,
2022,PAM02,s,under,,,,
2022,PAM02,w,over,,,,
2022,PAM02,w,over,,,,
2022,PAM02,w,under,,,,
2022,PAM02,w,under,,,,
2022,PAM01,n,over,,,,
2022,PAM01,n,over,,,,
2022,PAM01,n,under,,,,
2022,PAM01,n,under,,,,
2022,PAM01,e,over,,,,
2022,PAM01,e,over,,,,
2022,PAM01,e,under,,,,
2022,PAM01,e,under,,,,
2022,PAM01,s,over,,,,
2022,PAM01,s,over,,,,
2022,PAM01,s,under,,,,
2022,PAM01,s,under,,,,
2022,PAM01,w,over,,,,
2022,PAM01,w,over,,,,
2022,PAM01,w,under,,,,
2022,PAM01,w,under,,,,
2022,PAM03,n,over,Pinus taeda,7.5,25,
2022,PAM03,n,over,,,,
2022,PAM03,n,under,Baccharis halimifolia,1.65,,0.12
2022,PAM03,n,under,Myrica cerifera,2.15,,0.18
2022,PAM03,e,over,,,,
2022,PAM03,e,over,,,,
2022,PAM03,e,under,Baccharis halimifolia,0.65,,0.08
2022,PAM03,e,under,Baccharis halimifolia,4.15,,0.08
2022,PAM03,s,over,,,,
2022,PAM03,s,over,,,,
2022,PAM03,s,under,Myrica cerifera,4.6,,2.66
2022,PAM03,s,under,Myrica cerifera,4.55,,2.31
2022,PAM03,w,over,,,,
2022,PAM03,w,over,,,,
2022,PAM03,w,under,Myrica cerifera,3.6,,1.7
2022,PAM03,w,under,Baccharis halimifolia,3.1,,1.72
2022,PAM04,n,over,,,,
2022,PAM04,n,over,,,,
2022,PAM04,n,under,Baccharis halimifolia,0.85,,1.42
2022,PAM04,n,under,Baccharis halimifolia,0.7,,1.94
2022,PAM04,e,over,,,,
2022,PAM04,e,over,,,,
2022,PAM04,e,under,Baccharis halimifolia,0.95,,1.98
2022,PAM04,e,under,Myrica cerifera,0.9,,1.19
2022,PAM04,s,over,dead tree,1.45,,13.67
2022,PAM04,s,over,,,,
2022,PAM04,s,under,Myrica cerifera,1.05,,2.94
2022,PAM04,s,under,Baccharis halimifolia,2.4,,6.51
2022,PAM04,w,over,,,,
2022,PAM04,w,over,,,,
2022,PAM04,w,under,Baccharis halimifolia,1.45,,2.15
2022,PAM04,w,under,Baccharis halimifolia,1.75,,2.27
2022,PAM05,n,over,,,,
2022,PAM05,n,over,,,,
2022,PAM05,n,under,Myrica cerifera,4,,2.03
2022,PAM05,n,under,,,,
2022,PAM05,e,over,dead tree,3.68,70,
2022,PAM05,e,over,dead tree,4.55,60,
2022,PAM05,e,under,Pinus taeda,2.85,,5.99
2022,PAM05,e,under,Acer rubrum,2.45,,1.24
2022,PAM05,s,over,,,,
2022,PAM05,s,over,,,,
2022,PAM05,s,under,Myrica cerifera,0.85,,3.96
2022,PAM05,s,under,Acer rubrum,1.42,,4.57
2022,PAM05,w,over,,,,
2022,PAM05,w,over,,,,
2022,PAM05,w,under,Myrica cerifera,6.75,,3.93
2022,PAM05,w,under,Acer rubrum,6.5,,2.79
2022,PAM06,n,over,,,,
2022,PAM06,n,over,,,,
2022,PAM06,n,under,Myrica cerifera,0.3,,2.78
2022,PAM06,n,under,Acer rubrum,3.7,,1.87
2022,PAM06,e,over,,,,
2022,PAM06,e,over,,,,
2022,PAM06,e,under,Myrica cerifera,3.1,,2.05
2022,PAM06,e,under,Acer rubrum,2.55,,2.13
2022,PAM06,s,over,,,,
2022,PAM06,s,over,,,,
2022,PAM06,s,under,Myrica cerifera,2.45,,2.67
2022,PAM06,s,under,Pinus taeda,2.6,,3.12
2022,PAM06,w,over,dead tree,5.1,,0.55
2022,PAM06,w,over,,,,
2022,PAM06,w,under,Myrica cerifera,1.8,,0.64
2022,PAM06,w,under,Acer rubrum,1.05,,0.092
2022,PAM07,n,over,,,,
2022,PAM07,n,over,,,,
2022,PAM07,n,under,Myrica cerifera,1,,2.13
2022,PAM07,n,under,Pinus taeda,0.9,,4.47
2022,PAM07,e,over,Pinus taeda,2.15,25,
2022,PAM07,e,over,,,,
2022,PAM07,e,under,Myrica cerifera,1.1,,2.05
2022,PAM07,e,under,,,,
2022,PAM07,s,over,,,,
2022,PAM07,s,over,,,,
2022,PAM07,s,under,Pinus taeda,2.45,,6.77
2022,PAM07,s,under,Myrica cerifera,2.55,,2.02
2022,PAM07,w,over,,,,
2022,PAM07,w,over,,,,
2022,PAM07,w,under,Acer rubrum,1.7,,0.082
2022,PAM07,w,under,Myrica cerifera,1.85,,0.092
2022,PPR01,n,over,,,,
2022,PPR01,n,over,,,,
2022,PPR01,n,under,Myrica cerifera,1.7,,1.86
2022,PPR01,n,under,Myrica cerifera,3.1,,2.33
2022,PPR01,e,over,,,,
2022,PPR01,e,over,,,,
2022,PPR01,e,under,,,,
2022,PPR01,e,under,,,,
2022,PPR01,s,over,,,,
2022,PPR01,s,over,,,,
2022,PPR01,s,under,Myrica cerifera,2.45,,1.38
2022,PPR01,s,under,Myrica cerifera,3.7,,1.22
2022,PPR01,w,over,,,,
2022,PPR01,w,over,,,,
2022,PPR01,w,under,,,,
2022,PPR01,w,under,,,,
2022,PPR02,n,over,,,,
2022,PPR02,n,over,,,,
2022,PPR02,n,under,Myrica cerifera,0.75,,3.01
2022,PPR02,n,under,Myrica cerifera,1.3,,2.64
2022,PPR02,e,over,,,,
2022,PPR02,e,over,,,,
2022,PPR02,e,under,Myrica cerifera,1.05,,2.05
2022,PPR02,e,under,Myrica cerifera,1.15,,1.67
2022,PPR02,s,over,,,,
2022,PPR02,s,over,,,,
2022,PPR02,s,under,Myrica cerifera,1.9,,1.61
2022,PPR02,s,under,Myrica cerifera,1.1,,2
2022,PPR02,w,over,,,,
2022,PPR02,w,over,,,,
2022,PPR02,w,under,Myrica cerifera,1.25,,1.11
2022,PPR02,w,under,,,,
2022,PPR03,n,over,,,,
2022,PPR03,n,over,,,,
2022,PPR03,n,under,Pinus taeda,4,,9.94
2022,PPR03,n,under,Myrica cerifera,3.2,,2.81
2022,PPR03,e,over,,,,
2022,PPR03,e,over,,,,
2022,PPR03,e,under,Pinus taeda,0.8,,1.69
2022,PPR03,e,under,Myrica cerifera,1.5,,1.63
2022,PPR03,s,over,,,,
2022,PPR03,s,over,,,,
2022,PPR03,s,under,Myrica cerifera,3.6,,2.33
2022,PPR03,s,under,Myrica cerifera,4.8,,2.59
2022,PPR03,w,over,,,,
2022,PPR03,w,over,,,,
2022,PPR03,w,under,Pinus taeda,1.05,,2.97
2022,PPR03,w,under,Myrica cerifera,3.3,,3.12
2022,PPR04,n,over,,,,
2022,PPR04,n,over,,,,
2022,PPR04,n,under,Myrica cerifera,2.9,,2.95
2022,PPR04,n,under,Myrica cerifera,5.2,,2.41
2022,PPR04,e,over,,,,
2022,PPR04,e,over,,,,
2022,PPR04,e,under,Persea palustris,2.9,,3.36
2022,PPR04,e,under,Ilex glabra,2.4,,4.2
2022,PPR04,s,over,Pinus taeda,4.1,55,
2022,PPR04,s,over,,,,
2022,PPR04,s,under,Myrica cerifera,2.9,,1.99
2022,PPR04,s,under,,,,
2022,PPR04,w,over,,,,
2022,PPR04,w,over,,,,
2022,PPR04,w,under,Pinus taeda,4.1,,4.09
2022,PPR04,w,under,Myrica cerifera,3.35,,2.96
2022,PPR05,n,over,,,,
2022,PPR05,n,over,,,,
2022,PPR05,n,under,Myrica cerifera,2.62,,7.2
2022,PPR05,n,under,Myrica cerifera,0.8,,5.31
2022,PPR05,e,over,Pinus taeda,1.35,45,
2022,PPR05,e,over,,,,
2022,PPR05,e,under,Acer rubrum,0.8,,3.09
2022,PPR05,e,under,Persea palustris,1.05,,2.29
2022,PPR05,s,over,,,,
2022,PPR05,s,over,,,,
2022,PPR05,s,under,Pinus taeda,1.1,,4.02
2022,PPR05,s,under,Acer rubrum,0.95,,0.9
2022,PPR05,w,over,Pinus taeda,6.3,43,
2022,PPR05,w,over,,,,
2022,PPR05,w,under,Myrica cerifera,4.8,,3.09
2022,PPR05,w,under,Pinus taeda,5.85,,3.55
2022,PPR06,n,over,,,,
2022,PPR06,n,over,,,,
2022,PPR06,n,under,Myrica cerifera,3.65,,5.19
2022,PPR06,n,under,Myrica cerifera,4.07,,3.87
2022,PPR06,e,over,,,,
2022,PPR06,e,over,,,,
2022,PPR06,e,under,Ilex glabra,1.95,,1.58
2022,PPR06,e,under,Myrica cerifera,4.25,,2.47
2022,PPR06,s,over,,,,
2022,PPR06,s,over,,,,
2022,PPR06,s,under,Ilex glabra,3.2,,1.14
2022,PPR06,s,under,Myrica cerifera,4.7,,4.41
2022,PPR06,w,over,,,,
2022,PPR06,w,over,,,,
2022,PPR06,w,under,Ilex glabra,6.3,,2.42
2022,PPR06,w,under,Myrica cerifera,7.4,,2.41
2022,PPR07,n,over,,,,
2022,PPR07,n,over,,,,
2022,PPR07,n,under,Acer rubrum,1.05,,1.24
2022,PPR07,n,under,Myrica cerifera,2.2,,3.54
2022,PPR07,e,over,,,,
2022,PPR07,e,over,,,,
2022,PPR07,e,under,Ilex glabra,0.65,,1.19
2022,PPR07,e,under,Persea palustris,1.5,,3.42
2022,PPR07,s,over,,,,
2022,PPR07,s,over,,,,
2022,PPR07,s,under,Acer rubrum,0.8,,1.13
2022,PPR07,s,under,Myrica cerifera,2.6,,3.89
2022,PPR07,w,over,,,,
2022,PPR07,w,over,,,,
2022,PPR07,w,under,Myrica cerifera,2.85,,3.95
2022,PPR07,w,under,Myrica cerifera,2.2,,1.58
2022,PPR08,n,over,,,,
2022,PPR08,n,over,,,,
2022,PPR08,n,under,Ilex glabra,1.2,,1.38
2022,PPR08,n,under,Ilex glabra,2.1,,1.48
2022,PPR08,e,over,,,,
2022,PPR08,e,over,,,,
2022,PPR08,e,under,Ilex glabra,1.41,,2.79
2022,PPR08,e,under,Ilex glabra,1.45,,1.48
2022,PPR08,s,over,dead tree,7,90,
2022,PPR08,s,over,,,,
2022,PPR08,s,under,Myrica cerifera,1.3,,4.83
2022,PPR08,s,under,Myrica cerifera,1.3,,2.51
2022,PPR08,w,over,,,,
2022,PPR08,w,over,,,,
2022,PPR08,w,under,Myrica cerifera,0.95,,0.83
2022,PPR08,w,under,Myrica cerifera,1.4,,2.85
2022,PPR09,n,over,Pinus taeda,3.88,165,
2022,PPR09,n,over,Pinus taeda,6.8,95,
2022,PPR09,n,mid,Gordonia lasianthus,1.5,78,
2022,PPR09,n,mid,Gordonia lasianthus,6.3,67,
2022,PPR09,n,under,Gordonia lasianthus,2.2,,3.19
2022,PPR09,n,under,Gordonia lasianthus,2.6,,2.34
2022,PPR09,e,over,dead tree,1.7,40,
2022,PPR09,e,over,Pinus taeda,6,150,
2022,PPR09,e,mid,dead tree,2.4,50,
2022,PPR09,e,mid,Gordonia lasianthus,5.74,64.3,
2022,PPR09,e,under,Gordonia lasianthus,1.5,,1.82
2022,PPR09,e,under,Gordonia lasianthus,1.65,,1.41
2022,PPR09,s,over,Pinus taeda,4.35,148,
2022,PPR09,s,over,Pinus taeda,5.33,129,
2022,PPR09,s,mid,dead tree,1.9,43,
2022,PPR09,s,mid,Gordonia lasianthus,2.3,63,
2022,PPR09,s,under,Gordonia lasianthus,1.83,,2.23
2022,PPR09,s,under,,,,
2022,PPR09,w,over,Pinus taeda,4.85,90,
2022,PPR09,w,over,Pinus taeda,5.9,170,
2022,PPR09,w,mid,Gordonia lasianthus,2.05,48,
2022,PPR09,w,mid,Gordonia lasianthus,2.28,75,
2022,PPR09,w,under,Gordonia lasianthus,1.8,,1.43
2022,PPR09,w,under,Gordonia lasianthus,2.5,,2.41
2022,MAS08,n,over,dead tree,2.3,45,
2022,MAS08,n,over,Pinus serotina,5.6,48,
2022,MAS08,n,under,Clethra alnifolia,1.3,,0.85
2022,MAS08,n,under,Clethra alnifolia,1.6,,1.38
2022,MAS08,e,over,Pinus serotina,4.1,73,
2022,MAS08,e,over,dead tree,6.66,57,
2022,MAS08,e,under,Myrica cerifera,1.4,,0.0419
2022,MAS08,e,under,Clethra alnifolia,2.1,,0.381
2022,MAS08,s,over,Pinus serotina,3.62,56,
2022,MAS08,s,over,Pinus serotina,2.74,47,
2022,MAS08,s,under,Clethra alnifolia,0.26,,1.19
2022,MAS08,s,under,Clethra alnifolia,2.41,,0.0825
2022,MAS08,w,over,dead tree,3,50,
2022,MAS08,w,over,dead tree,4.35,55,
2022,MAS08,w,under,Clethra alnifolia,1.26,,1.13
2022,MAS08,w,under,Clethra alnifolia,1.73,,1.143
2022,MAS07,n,over,dead tree,2.5,60,
2022,MAS07,n,over,dead tree,4,40,
2022,MAS07,n,under,Myrica cerifera,2.85,,0.88
2022,MAS07,n,under,Persea palustris,3.95,,1
2022,MAS07,e,over,dead tree,3.91,64,
2022,MAS07,e,over,dead tree,6.72,45,
2022,MAS07,e,under,Clethra alnifolia,2.39,,0.756
2022,MAS07,e,under,Myrica cerifera,2.33,,0.956
2022,MAS07,s,over,dead tree,0.84,33,
2022,MAS07,s,over,dead tree,2.19,26,
2022,MAS07,s,under,Persea palustris,3.81,,1.73
2022,MAS07,s,under,,,,
2022,MAS07,w,over,dead tree,3.05,45,
2022,MAS07,w,over,dead tree,5.3,80,
2022,MAS07,w,under,Myrica cerifera,3.4,,1
2022,MAS07,w,under,Myrica cerifera,4.5,,0.76
2022,MAS06,n,over,,,,
2022,MAS06,n,over,,,,
2022,MAS06,n,under,Persea palustris,1.6,,1.47
2022,MAS06,n,under,Persea palustris,1.9,,1.27
2022,MAS06,e,over,,,,
2022,MAS06,e,over,,,,
2022,MAS06,e,under,,,,
2022,MAS06,e,under,,,,
2022,MAS06,s,over,dead tree,7.53,67,
2022,MAS06,s,over,,,,
2022,MAS06,s,under,Persea palustris,6.36,,1.53
2022,MAS06,s,under,,,,
2022,MAS06,w,over,dead tree,6.7,60,
2022,MAS06,w,over,dead tree,10.8,55,
2022,MAS06,w,under,,,,
2022,MAS06,w,under,,,,
2022,MAS05,n,over,,,,
2022,MAS05,n,over,,,,
2022,MAS05,n,under,Persea palustris,1.5,,2.7
2022,MAS05,n,under,Lyonia lucida,3.4,,1.7
2022,MAS05,e,over,,,,
2022,MAS05,e,over,,,,
2022,MAS05,e,under,Acer rubrum,1.6,,1.91
2022,MAS05,e,under,Vaccinium sp.,1.8,,1.77
2022,MAS05,s,over,,,,
2022,MAS05,s,over,,,,
2022,MAS05,s,under,Persea palustris,2.33,,1.49
2022,MAS05,s,under,Lyonia lucida,3.56,,1.8
2022,MAS05,w,over,,,,
2022,MAS05,w,over,,,,
2022,MAS05,w,under,Acer rubrum,10.47,,2
2022,MAS05,w,under,,,,
2022,MAS04,n,over,dead tree,5,50,
2022,MAS04,n,over,Persea palustris,3.5,,1.24
2022,MAS04,n,under,Persea palustris,4.5,,2
2022,MAS04,n,under,,,,
2022,MAS04,e,over,,,,
2022,MAS04,e,over,,,,
2022,MAS04,e,under,Persea palustris,4.6,,6.49
2022,MAS04,e,under,Persea palustris,8.5,,4.36
2022,MAS04,s,over,,,,
2022,MAS04,s,over,,,,
2022,MAS04,s,under,Ilex glabra,8.92,,1.31
2022,MAS04,s,under,Acer rubrum,6.2,,2.59
2022,MAS04,w,over,,,,
2022,MAS04,w,over,,,,
2022,MAS04,w,under,Myrica cerifera,4.51,,2.053
2022,MAS04,w,under,Myrica cerifera,4.46,,3.186
2022,MAS03,n,over,,,,
2022,MAS03,n,over,,,,
2022,MAS03,n,under,Acer rubrum,7.64,,1.653
2022,MAS03,n,under,Myrica cerifera,8.58,,0.0937
2022,MAS03,e,over,,,,
2022,MAS03,e,over,,,,
2022,MAS03,e,under,Ilex glabra,6.8,,0.57
2022,MAS03,e,under,Myrica cerifera,7.2,,0.87
2022,MAS03,s,over,,,,
2022,MAS03,s,over,,,,
2022,MAS03,s,under,Ilex coriacea,1.6,,1.88
2022,MAS03,s,under,Acer rubrum,5.45,,2.83
2022,MAS03,w,over,,,,
2022,MAS03,w,over,,,,
2022,MAS03,w,under,Acer rubrum,7.71,,1.345
2022,MAS03,w,under,Pinus serotina,6,,1.736
2022,MAS02,n,over,,,,
2022,MAS02,n,over,,,,
2022,MAS02,n,under,Myrica cerifera,3.2,,1.968
2022,MAS02,n,under,Myrica cerifera,9.83,,1.836
2022,MAS02,e,over,,,,
2022,MAS02,e,over,,,,
2022,MAS02,e,under,,,,
2022,MAS02,e,under,,,,
2022,MAS02,s,over,,,,
2022,MAS02,s,over,,,,
2022,MAS02,s,under,Myrica cerifera,2.7,,2.29
2022,MAS02,s,under,Myrica cerifera,4.2,,0.97
2022,MAS02,w,over,,,,
2022,MAS02,w,over,,,,
2022,MAS02,w,under,Myrica cerifera,5.21,,2.09
2022,MAS02,w,under,Myrica cerifera,5.89,,2.026
2022,MAS01,n,over,,,,
2022,MAS01,n,over,,,,
2022,MAS01,n,under,,,,
2022,MAS01,n,under,,,,
2022,MAS01,e,over,,,,
2022,MAS01,e,over,,,,
2022,MAS01,e,under,Acer rubrum,4.17,,2.473
2022,MAS01,e,under,Acer rubrum,5.61,,2.09
2022,MAS01,s,over,,,,
2022,MAS01,s,over,,,,
2022,MAS01,s,under,,,,
2022,MAS01,s,under,,,,
2022,MAS01,w,over,,,,
2022,MAS01,w,over,,,,
2022,MAS01,w,under,Myrica cerifera,1.9,,1.94
2022,MAS01,w,under,,,,
