year,plot.code,species,percent-cover
2022,PPR03,Toxicodendron radicans,3
2022,PPR03,Spartina patens,20
2022,PPR03,Andropogon tenuispatheus,7
2022,PPR03,Solidago mexicana,2
2022,PPR03,Dichanthelium scabriusculum,12
2022,PPR04,Ilex glabra,30
2022,PPR04,Toxicodendron radicans,3
2022,PPR04,Woodwardia virginica,2
2022,PPR04,Acer rubrum,3
2022,PPR04,Andropogon tenuispatheus,10
2022,PPR04,Solidago mexicana,1
2022,PPR04,Dichanthelium scabriusculum,1
2022,PPR05,Woodwardia virginica,30
2022,PPR05,Ilex glabra,30
2022,PPR05,Persea palustris,5
2022,PPR05,Toxicodendron radicans,<1
2022,PPR05,Andropogon tenuispatheus,10
2022,PPR05,Pinus taeda,<1
2022,PPR06,Centella erecta,50
2022,PPR06,Dichanthelium scabriusculum,11
2022,PPR06,Andropogon tenuispatheus,10
2022,PPR06,Solidago mexicana,1
2022,PPR07,Woodwardia virginica,21
2022,PPR07,Toxicodendron radicans,4
2022,PPR07,Acer rubrum,3
2022,PPR07,Rhus sp.,1
2022,PPR07,Peltandra virginica,1
2022,PPR07,Solidago mexicana,<1
2022,PPR07,Andropogon tenuispatheus,3
2022,PPR07,Hypericum virginicum,2
2022,PPR08,Woodwardia virginica,25
2022,PPR08,Toxicodendron radicans,50
2022,PPR08,Osmunda regalis,16
2022,PPR08,Ilex glabra,60
2022,PPR08,Myrica cerifera,100
2022,PPR08,Persea palustris,2.5
2022,PPR08,Smilax sp.,<1
2022,PPR09,Gordonia lasianthus,8
2022,PPR09,Woodwardia virginica,30
2022,MAS08,Clethra alnifolia,30
2022,MAS08,Lyonia lucida,10
2022,MAS08,Ilex glabra,32
2022,MAS08,Myrica cerifera,15
2022,MAS07,Woodwardia virginica,40
2022,MAS07,Lyonia lucida,18
2022,MAS07,Clethra alnifolia,20
2022,MAS07,Myrica cerifera,35
2022,MAS07,Pinus serotina,<1
2022,MAS07,Persea palustris,5
2022,MAS06,Woodwardia virginica,30
2022,MAS06,Ilex glabra,45
2022,MAS06,Lyonia lucida,35
2022,MAS06,Persea palustris,12
2022,MAS05,Woodwardia virginica,23
2022,MAS05,Peltandra virginica,2
2022,MAS05,Drosera intermedia,4.5
2022,MAS05,Ilex glabra,<1
2022,MAS05,Unknown Poaceae,2
2022,MAS04,Woodwardia virginica,30
2022,MAS04,Peltandra virginica,2
2022,MAS04,Unknown Poaceae,10
2022,MAS03,Woodwardia virginica,15
2022,MAS03,Osmunda regalis,<1
2022,MAS03,Cladium mariscus ssp. jamaicense,2.5
2022,MAS03,Ilex glabra,20
2022,MAS03,Andropogon tenuispatheus,18
2022,MAS02,Cladium mariscus ssp. jamaicense,22
2022,MAS02,Woodwardia virginica,13.5
2022,MAS02,Andropogon tenuispatheus,8
2022,MAS02,Acer rubrum,3
2022,MAS02,Hypericum virginicum,2.5
2022,MAS02,Myrica cerifera,1
2022,MAS02,Utricularia gibba,<1
2022,MAS02,Typha latifolia,1
2022,MAS02,Utricularia subulata,<1
2022,MAS02,Peltandra virginica,9
2022,MAS02,Drosera intermedia,<1
2022,MAS02,Unknown rush,2
2022,MAS02,Galium aparine,1
2022,MAS01,Cladium mariscus ssp. jamaicense,65
2022,MAS01,Woodwardia virginica,15
2022,MAS01,Toxicodendron radicans,15
2022,MAS01,Hypericum virginicum,8
2022,MAS01,Acer rubrum,1
2022,MAS01,Peltandra virginica,2.5
2022,MAS01,Unknown rush,2
